paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source
21,E-4,30.0,3.0,39.82,,False,True,Thermal Treatment: 600 °C,matrix
21,E-1,30.0,3.0,41.91,,False,True,Thermal Treatment: 0 °C,matrix
21,E-3,30.0,3.0,42.64,,False,True,Thermal Treatment: 400 °C,matrix
21,E-5,30.0,3.0,47.71,,False,True,Thermal Treatment: 700 °C,matrix
22,RCP concrete (w/b=0.61),0.0,,33.5,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.50),0.0,,34.8,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.54),0.0,,38.1,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.40),0.0,,48.2,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.40),0.0,,61.68,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.35),0.0,,65.96,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.61),10.0,,33.7,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.54),10.0,,43.2,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.40),10.0,,58.32,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.35),10.0,,60.69,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.50),15.0,,36.9,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.40),15.0,,47.1,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.61),20.0,,27.1,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.54),20.0,,32.6,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.40),20.0,,49.44,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.35),20.0,,59.19,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.61),30.0,,22.0,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.54),30.0,,31.3,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.50),30.0,,34.0,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.40),30.0,,38.88,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.40),30.0,,44.4,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.35),30.0,,56.18,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.40),40.0,,38.4,,False,False,Mechanical Grinding,matrix
22,RCP concrete (w/b=0.35),40.0,,45.64,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.50),45.0,,26.1,,False,False,Mechanical Grinding,matrix
22,RCP-RBP concrete (w/b=0.40),45.0,,38.1,,False,False,Mechanical Grinding,matrix
23,RA30,30.0,1.0,15.0,,True,True,None (coarse raw material),matrix
23,WA30,30.0,1.0,31.0,,True,True,Mechanical activation via wet-milling,matrix
